UOMID,UOMName,UOMDescription,Is Active,Created By Contact ID,Created Date Time,Modified By Contact ID,Modified Date Time
1,Box,Box,,1,17/09/2007 4:09:12 PM,1,17/09/2007 4:09:12 PM
2,Each,Each,,1,17/09/2007 4:09:12 PM,1,17/09/2007 4:09:12 PM
3,Kit,Kit,,1,17/09/2007 4:09:12 PM,1,17/09/2007 4:09:12 PM
4,Length,Length,,1,17/09/2007 4:09:12 PM,1,17/09/2007 4:09:12 PM
5,Litre,Litre,,1,17/09/2007 4:09:12 PM,1,17/09/2007 4:09:12 PM
23,M3,M3,,1687,3/10/2022 3:11:28 PM,1687,3/10/2022 3:11:28 PM
7,Package,Package,,1,17/09/2007 4:09:12 PM,1454,15/06/2022 9:52:55 AM
8,Set,Set,,1,25/03/2022 9:04:41 AM,1,25/03/2022 9:04:41 AM
9,LOT,LOT,,1,25/03/2022 9:04:42 AM,1,25/03/2022 9:04:42 AM
10,Meter sq.,Meter sq.,,1454,8/08/2022 4:09:40 PM,1454,8/08/2022 4:09:40 PM
11,Ton,Ton,,1454,8/08/2022 4:09:40 PM,1454,8/08/2022 4:09:40 PM
12,Meter,Meter,,1454,8/08/2022 4:09:40 PM,1454,8/08/2022 4:09:40 PM
13,Bag,Bag,,1454,8/08/2022 4:09:40 PM,1454,8/08/2022 4:09:40 PM
14,Bottle,Bottle,,1454,8/08/2022 4:09:40 PM,1454,8/08/2022 4:09:40 PM
15,Pair,Pair,,1454,8/08/2022 4:09:40 PM,1454,8/08/2022 4:09:40 PM
16,Decalitre,Decalitre,,1454,8/08/2022 4:09:40 PM,1454,8/08/2022 4:09:40 PM
17,Kg,Kg,,1454,8/08/2022 4:09:40 PM,1454,8/08/2022 4:09:40 PM
18,Roll,Roll,,1454,8/08/2022 4:09:40 PM,1454,8/08/2022 4:09:40 PM
19,Pack,Pack,,1454,8/08/2022 4:09:40 PM,1454,8/08/2022 4:09:40 PM
20,Litr,Litr,,1454,8/08/2022 4:09:40 PM,1454,8/08/2022 4:09:40 PM
21,Meter cub.,Meter cub.,,1454,11/08/2022 9:13:11 AM,1454,11/08/2022 9:13:11 AM
22,бал,бал,,1,5/09/2022 1:32:41 PM,1,5/09/2022 1:32:41 PM
24,Tonn,Tonn,,1687,28/10/2022 4:15:18 PM,1687,28/10/2022 4:15:18 PM
25,бут,бут,,1687,28/10/2022 4:15:18 PM,1687,28/10/2022 4:15:18 PM
26, Each, Each,,1687,16/12/2022 1:39:52 PM,1687,16/12/2022 1:39:52 PM
27,Can,Can,,1687,16/12/2022 1:39:52 PM,1687,16/12/2022 1:39:52 PM
28,м²,м²,,1687,16/12/2022 1:39:52 PM,1687,16/12/2022 1:39:52 PM
29,к-т,к-т,,1687,19/12/2022 9:34:14 AM,1687,19/12/2022 9:34:14 AM
30,метр,метр,,1687,19/12/2022 9:34:14 AM,1687,19/12/2022 9:34:14 AM
31,меш,меш,,1687,19/12/2022 9:34:14 AM,1687,19/12/2022 9:34:14 AM
32,мешок,мешок,,1687,19/12/2022 9:34:14 AM,1687,19/12/2022 9:34:14 AM
33,кор,кор,,1687,19/12/2022 9:34:14 AM,1687,19/12/2022 9:34:14 AM
34,Metre,Metre,,1687,19/12/2022 9:34:14 AM,1687,19/12/2022 9:34:14 AM
35,Balloon,Balloon,,1687,25/03/2023 11:13:54 AM,1687,25/03/2023 11:13:54 AM
36,shoulder ,shoulder ,,1670,31/05/2023 3:22:11 PM,1670,31/05/2023 3:22:11 PM
37,shoul-str,shoul-str,,1670,31/05/2023 3:24:36 PM,1670,31/05/2023 3:24:36 PM
38,runn-metr,runn-metr,,1670,31/05/2023 3:27:05 PM,1670,31/05/2023 3:27:05 PM
39,cm,Centimeter,,689,13/06/2023 2:56:33 PM,689,13/06/2023 2:57:30 PM
40,drum,drum,,1460,7/08/2023 3:45:03 PM,1460,7/08/2023 3:41:36 PM
41,pcs.,pcs.,,1670,19/08/2023 3:05:27 PM,1670,19/08/2023 3:05:27 PM
42,Dona,Dona,,1670,8/09/2023 1:16:16 PM,1670,8/09/2023 1:16:16 PM
43,hour,hour,,1687,3/11/2023 3:34:26 PM,1687,3/11/2023 3:34:26 PM
44,m2,m2,,1687,3/11/2023 3:34:26 PM,1687,3/11/2023 3:34:26 PM
