Priority Matrix Answer ID,Entity ID,Entity Name
1,1,Request
2,-1,Request
8,111,Request
9,114,Request
10,278,Request
11,282,Request
13,283,Request
14,288,Request
16,312,Request
20,326,Request
22,397,Request
23,655,Request
25,673,Request
27,793,Request
28,794,Request
30,830,Request
31,944,Request
33,975,Request
35,988,Request
36,990,Request
38,1106,Request
39,2143,Request
40,2177,Request
41,2418,Request
43,2579,Request
44,2580,Request
45,2581,Request
46,2581,Request
48,2610,Request
49,2661,Request
50,2674,Request
51,2684,Request
52,2697,Request
54,2811,Request
57,2942,Request
58,2943,Request
59,2990,Request
63,3096,Request
64,3098,Request
65,3099,Request
66,3101,Request
67,3120,Request
70,3189,Request
74,3266,Request
75,3267,Request
80,3619,Request
82,3647,Request
83,3775,Request
84,3787,Request
86,3864,Request
91,3986,Request
94,4092,Request
98,4586,Request
101,4724,Request
103,4420,Request
104,5054,Request
105,5055,Request
108,6261,Request
110,6369,Request
112,6914,Request
117,7500,Request
120,8392,Request
121,8708,Request
122,0,Request
123,8964,Request
366,9838,Request
367,9881,Request
368,9888,Request
369,10153,Request
371,10169,Request
373,10274,Request
374,10584,Request
378,10756,Request
786,11214,Request
788,11245,Request
791,11687,Request
793,11924,Request
795,12081,Request
797,12321,Request
1019,12528,Request
1021,12550,Request
1022,12552,Request
1098,13328,Request
1099,13365,Request
1100,13426,Request
1102,13653,Request
1110,14169,Request
1112,14241,Request
1114,14785,Request
1115,14786,Request
1123,15233,Request
1124,15237,Request
1125,15299,Request
1126,15307,Request
1130,15327,Request
1134,15364,Request
1136,15372,Request
1139,15423,Request
1141,15460,Request
1142,15491,Request
1143,15492,Request
1145,15526,Request
1147,15527,Request
1148,15613,Request
1149,15615,Request
1150,15658,Request
1151,15685,Request
1152,15686,Request
1153,15687,Request
1154,15688,Request
1155,15689,Request
1156,15690,Request
1157,15691,Request
1160,15785,Request
1161,15786,Request
1162,15787,Request
1168,15848,Request
1174,16080,Request
1175,16083,Request
1178,16105,Request
1179,16301,Request
1180,16367,Request
1181,16368,Request
1183,16412,Request
1184,16432,Request
1188,16554,Request
1190,16575,Request
1191,16576,Request
1192,16602,Request
1194,16668,Request
1195,16685,Request
1199,16740,Request
1201,16840,Request
1202,16840,Request
1203,16841,Request
1210,17245,Request
1211,17267,Request
1212,17285,Request
1214,17308,Request
1215,17309,Request
1216,17310,Request
1218,17432,Request
1219,17481,Request
1222,17499,Request
1230,17718,Request
1232,17872,Request
1233,17897,Request
1234,17934,Request
1236,18175,Request
1237,18209,Request
1241,18337,Request
1242,18340,Request
1243,18342,Request
1244,18343,Request
1245,18344,Request
1246,18345,Request
1247,18347,Request
1248,18348,Request
1249,18350,Request
1250,18351,Request
1251,18356,Request
1252,18357,Request
1253,18359,Request
1254,18372,Request
1259,18424,Request
1260,18425,Request
1261,18449,Request
1262,18551,Request
1264,18564,Request
1265,18563,Request
1266,18562,Request
1270,18572,Request
1273,18746,Request
1275,18861,Request
1276,18865,Request
1277,18866,Request
1278,19919,Request
1279,19940,Request
1280,19941,Request
1281,19942,Request
1282,19943,Request
1283,19944,Request
1285,19946,Request
1287,19958,Request
1290,19996,Request
1291,20032,Request
1292,20055,Request
1299,20325,Request
1300,20395,Request
1301,20404,Request
1305,20550,Request
1307,20587,Request
1308,20588,Request
1309,20589,Request
1310,20590,Request
1311,20591,Request
1312,20592,Request
1313,20593,Request
1335,17433,Request
1338,20905,Request
1339,16597,Request
1340,20944,Request
1348,21005,Request
1349,21012,Request
1350,21042,Request
1351,21043,Request
1352,21044,Request
1353,21045,Request
1354,21046,Request
1356,21092,Request
1360,21104,Request
1362,21132,Request
1363,21140,Request
1368,21331,Request
1369,21347,Request
1370,21569,Request
1371,21570,Request
1373,21623,Request
1375,21597,Request
1380,21842,Request
1383,22227,Request
1384,22230,Request
1385,22231,Request
1387,22254,Request
1389,22676,Request
1392,22818,Request
1393,22949,Request
1395,22967,Request
1396,22974,Request
1398,23156,Request
1399,23228,Request
1400,23252,Request
1401,23253,Request
1402,23263,Request
1406,23287,Request
1407,23274,Request
1411,23333,Request
1413,23386,Request
1416,23479,Request
1417,23521,Request
1420,23596,Request
1421,23616,Request
1422,23619,Request
1425,23646,Request
1427,23691,Request
1430,23698,Request
1433,23824,Request
1434,23988,Request
1439,24030,Request
1440,24039,Request
1441,24040,Request
1444,24084,Request
1447,24112,Request
