Department ID,Department Name,Department Description
1,PWU-Analyser,Maintenance
5,Sales,Commercial
7,Administrative and Service Department,Commercial
8,SLU-Electrical,Maintenance
9,SLU-Rotating,Maintenance
10,SLU-Static,Maintenance
11,SLU-Instrumentation,Maintenance
12,SGU-Electrical,Maintenance
13,SGU-Rotating,Maintenance
14,SGU-Instrumentation,Maintenance
15,SGU-Static,Maintenance
16,PWU-Electrical,Maintenance
17,PWU-Instrumentation,Maintenance
18,PWU-Static,Maintenance
19,PWU-Rotating,Maintenance
20,U&O-Electrical,Maintenance
21,U&O-Instrumentation,Maintenance
22,U&O-Static,Maintenance
23,U&O-Rotating,Maintenance
26,MECH (Rotating),MECH (Rotating)
27,MECH (Static),MECH (Static)
28,Plant Integrity,Technical
31,Motor Transport Operation department,Production
32,HEAD,Head Department
33,MANAGER,Managers
34,CON-MON,Technical
35,Electrical,Electrical
36,Instrumentation,Instrumentation
37,Material Technical Control,Maintenance
38,TECHNICAL,TECHNICAL
40,U&O-Analyser,Maintenance
41,CONT SERVICES,Maintenance
42,CofE,Maintenance
43,Turnaround,Maintenance
44,Civil and building department,Maintenance
47,Synthesis Gas Unit,Production
48,SGU-Analyser,Maintenance
49,SLU-Analyser,Maintenance
50,Automation,Technical
51,Process Safety Department,Technical
52,Central Factory Laboratory,Production
53,Reliability,Technical
54,HSE,Other departments
59,INST-PWU,Instrumentation
63,Maintenance General,Maintenance
64,Process Engineering Department,Technical
66,Information Technology Department,Other departments
67,Department of Accounting and Corporate Reporting,Finance
68,Reliability (SS),Technical
70,Emergency situations and Security Service,Other departments
71,Procurement and Logistics,Commercial
72,Human Resources Department,Other departments
73,Planning Department,Finance
74,Production Management Department,Production
75,Project Management,Other departments
76,Synthesis Liquid Unit,Production
77,Product Work-up Unit,Production
78,Utilities and Off-sites Unit,Production
79,Projects Office,Project
80,Product Storage Department,Production
81,Localization  ,Maintenance
83,Financial Department,Finance
84,Treasury Department,Other departments
85,Consolidated information and Analytical,Other departments
86,Information security,Other departments
87,Legal Department,Other departments
88,Training Sector,Other departments
89,UZGTL (Uniform),only for uniform issuance
90,Routine Maintenance Planning Department,Maintenance
91,Chinoz terminal,Chinoz terminal
92,Technical Coordination,Technical Coordination Department
93,Public Relations Services,Other departments
94,Cofe-FGS,Fire Gas System Support
95,Cofe-HVAC,High Ventilation and Air Conditioner support
96,Cofe-Welding,Welding Support
97,Cofe-INSUL,Insulation support
98,Cofe-Electrical,Electrical Support
99,Cofe-Steam Tracing,Steam Tracing Support
100,Cofe-Stat (Machinist),Machinist Support
101,Cofe-Met,Metrology Support
102,Cofe-Jet Wash,Jet Wash Cleaning Support
103,Cofe-Valve,Control Valve support
104,Quality Control,Quality Control Department
105,Trainee Sector,Trainee Sector
106,ETL Maintenance,Electrotechnical Laboratory team of Maintenance
107,Cofe-Scaff,Scaffolding support
108,Material Technical Resources Management Dep. ,Other departments
109,Marketing,Other departments
110,General affairs,General affairs department
111,Chinoz-Mechanical,Chinoz terminal
112,Chinoz-Electrical,Chinoz terminal
113,Shipped products accounting department,Production
114,Management,
115,Electrical Substation 220-kV,Maintenance
